days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
171,1,29017,823,13,-6,5,72,4,-29,6,803,728.894,9.22864259,90.77135741,729,9.215442092,90.78455791
98,21,1149,65,6,-33,-3,55,-28,-47,16,141,140.514,0.344680851,99.65531915,141,0,100
218,47,114098,1144,27,-3,5,101,-10,-32,7,1657,1804.087,8.876704888,91.12329511,1804,8.871454436,91.12854556
240,12,605342,10868,135,-25,-16,-23,-41,-34,10,3229,3126.334,3.179498297,96.8205017,3126,3.189842056,96.81015794
179,12,130092,3390,24,-26,-10,-13,-40,-17,6,9518,7358.035,22.69347552,77.30652448,7358,22.69384324,77.30615676
274,21,68840,1174,4,-9,2,68,-5,-27,5,984,660.531,32.87286585,67.12713415,661,32.82520325,67.17479675
314,37,294860,4615,8,-14,-3,27,-28,-28,7,1521,2121.472,39.47876397,60.52123603,2121,39.44773176,60.55226824
198,12,311640,4677,156,-22,-10,-15,-41,-37,12,13764,10504.8,23.67916303,76.32083697,10505,23.67770997,76.32229003
311,47,273144,3541,32,-12,-7,38,-14,-23,6,1373,2703.394,96.89686817,3.103131828,2703,96.86817189,3.131828114
298,37,258292,4144,30,-12,-1,100,-16,-10,1,2584,2419.346,6.372058824,93.62794118,2419,6.385448916,93.61455108
255,1,136703,2333,32,-11,-6,38,-7,-26,4,1138,1168.297,2.662302285,97.33769772,1168,2.636203866,97.36379613
220,21,33796,764,4,-9,4,159,-4,-32,7,542,554.286,2.266789668,97.73321033,554,2.21402214,97.78597786
127,13,28998,1327,69,-18,-2,17,-40,-42,15,802,664.154,17.18778055,82.81221945,664,17.20698254,82.79301746
121,13,25241,1111,57,-23,-4,-15,-44,-45,18,537,770.059,43.40018622,56.59981378,770,43.38919926,56.61080074
276,47,198403,2515,14,-7,-1,62,-10,-24,4,971,1437.008,47.99258496,52.00741504,1437,47.99176107,52.00823893
99,13,10080,371,20,-39,-14,-6,-49,-52,20,1130,816.32,27.75929204,72.24070796,816,27.78761062,72.21238938
318,1,213617,3231,18,-12,-6,11,-11,-21,6,2980,2044.085,31.40654362,68.59345638,2044,31.40939597,68.59060403
328,47,344550,4301,35,-5,2,18,-14,-28,8,4074,3641.111,10.62565047,89.37434953,3641,10.62837506,89.37162494
239,47,147353,1648,20,-8,0,69,-16,-28,7,1936,1237.772,36.06549587,63.93450413,1238,36.05371901,63.94628099
82,37,255,0,0,-39,-10,-7,-42,-29,9,71,74.967,5.587323944,94.41267606,75,5.633802817,94.36619718
240,28,81294,2413,14,-14,-10,8,-6,-24,8,599,797.695,33.17111853,66.82888147,798,33.22203673,66.77796327
248,21,51677,987,11,-8,6,133,3,-33,6,792,900.926,13.75328283,86.24671717,901,13.76262626,86.23737374
163,51,53211,1534,14,-17,-1,50,-35,-40,14,564,545.813,3.22464539,96.77535461,546,3.191489362,96.80851064
243,12,614753,11119,14,-27,-19,-34,-46,-23,6,2547,2105.218,17.34519042,82.65480958,2105,17.35374951,82.64625049
197,1,59113,1211,45,-3,3,42,1,-31,8,1805,1805.566,0.031357341,99.96864266,1806,0.055401662,99.94459834
151,47,22720,366,5,-9,8,133,-5,-5,1,484,657.132,35.77107438,64.22892562,657,35.74380165,64.25619835
289,45,161106,3607,14,-8,-3,25,-2,-24,6,1297,958.787,26.0765613,73.9234387,959,26.06013878,73.93986122
304,28,120160,3334,6,-10,-6,0,8,-25,2,824,667.898,18.94441748,81.05558252,668,18.93203883,81.06796117
83,1,196,0,0,-33,-6,-11,-22,-33,14,39,60.721,55.69487179,44.30512821,61,56.41025641,43.58974359
100,1,2838,48,0,-35,-4,5,-31,-43,18,339,106.95,68.45132743,31.54867257,107,68.43657817,31.56342183
129,28,9378,422,13,-20,-3,-12,-19,-34,15,288,287.834,0.057638889,99.94236111,288,0,100
173,13,64673,2643,1,-14,0,50,-35,-18,2,885,1316.673,48.77661017,51.22338983,1317,48.81355932,51.18644068
191,28,34622,1215,11,-2,3,38,3,-29,8,1031,904.23,12.29582929,87.70417071,904,12.31813773,87.68186227
128,37,13397,507,30,-22,2,29,-37,-40,15,639,547.356,14.34178404,85.65821596,547,14.39749609,85.60250391
135,21,7225,328,2,-18,7,90,-17,-39,12,145,183.928,26.84689655,73.15310345,184,26.89655172,73.10344828
236,21,43529,881,9,-11,2,123,1,-12,1,463,661.068,42.77926566,57.22073434,661,42.76457883,57.23542117
254,37,184179,2990,32,-14,-3,49,-25,-33,7,1307,1348.541,3.17834736,96.82165264,1349,3.213465953,96.78653405
295,51,170104,3524,9,-12,-3,56,-31,-34,10,1332,1171.495,12.04992492,87.95007508,1171,12.08708709,87.91291291
138,45,8816,385,5,-12,4,51,-4,-23,5,155,225.309,45.36064516,54.63935484,225,45.16129032,54.83870968
220,51,99189,2322,5,-14,-2,76,-31,-39,11,1307,1352.111,3.451491966,96.54850803,1352,3.442999235,96.55700077
284,47,212649,2758,26,-17,-6,29,-8,-11,4,1646,2018.107,22.60674362,77.39325638,2018,22.60024301,77.39975699
317,12,851825,17372,72,-24,-17,-40,-41,-34,12,5504,4907.623,10.83533794,89.16466206,4908,10.82848837,89.17151163
131,47,15060,243,1,-12,14,50,-20,-23,3,217,314.101,44.74700461,55.25299539,314,44.70046083,55.29953917
187,47,51431,646,9,-14,-4,79,-8,-21,3,1291,1398.49,8.326103796,91.6738962,1398,8.288148722,91.71185128
161,12,64448,2765,53,-20,-10,-20,-41,-32,12,1070,1326.765,23.99672897,76.00327103,1327,24.01869159,75.98130841
157,21,10977,466,8,-10,9,105,-10,-33,10,272,265.514,2.384558824,97.61544118,266,2.205882353,97.79411765
94,13,5931,198,22,-37,0,4,-50,-48,20,488,623.697,27.8067623,72.1932377,624,27.86885246,72.13114754
309,28,123887,3405,8,-7,-5,5,7,-17,4,1612,856.094,46.89243176,53.10756824,856,46.89826303,53.10173697
235,1,114532,2011,15,-13,0,53,2,-9,3,900,1268.266,40.91844444,59.08155556,1268,40.88888889,59.11111111
244,45,118992,2720,11,-8,-3,26,-9,-27,6,668,913.711,36.78308383,63.21691617,914,36.82634731,63.17365269
173,21,13750,526,2,-11,7,89,-4,-13,1,120,256.204,113.5033333,-13.50333333,256,113.3333333,-13.33333333
